id,Movie_id
0,1236153
1,1272837
2,1244975
3,1301306
4,1253000
5,840464
6,1523145
7,434853
8,1419406
9,1084242
10,1634858
11,1242898
12,1368166
13,1168190
14,83533
15,1316092
16,755898
17,1205225
18,1110034
19,1428862
20,1110034
21,1297842
22,1311031
23,1317288
24,1601243
25,1317672
26,1171145
27,1146344
28,1600028
29,14831
30,1315303
31,1511417
32,1327688
33,1426964
34,1396980
35,1306368
36,858024
37,1234731
38,1323625
39,83519
40,1584215
41,1310568
42,1242937
43,11393
44,1271895
45,27725
46,1052558
47,991494
48,14938
49,1167307
50,1522259
51,23949
52,1193128
53,425274
54,1460448
55,1159559
56,1043197
57,103620
58,42159
59,24428
60,1199869
61,52657
62,258362
63,15260
64,1290821
65,1242501
66,1305781
67,1252037
68,803796
69,157336
70,1246049
71,1054867
72,587370
73,7451
74,21948
75,278
76,1215185
77,947959
78,1198994
79,10929
80,1234821
81,639988
82,1242015
83,1242937
84,1287141
85,1266990
86,11065
87,650524
88,1233413
89,1223601
90,76600
91,19995
92,575265
93,1215185
94,982843
95,1326878
96,1243460
97,10774
98,1062722
99,1084244
100,1084244
101,911430
102,1340076
103,10929
104,1464374
105,254905
106,518495
107,1088434
108,496243
109,461992
110,1268609
111,1362057
112,1528660
113,533533
114,1196067
115,1440144
116,299536
117,1061474
118,1033462
119,550
120,299536
121,155
122,982843
123,533533
124,1326878
125,940100
126,27205
127,346796
128,1327690
129,597
130,1411707
131,1243460
132,776659
133,980477
134,1523846
135,81065
136,1196067
137,617126
138,1010581
139,4916
140,4300
141,461992
142,1258151
143,680493
144,1061474
145,11065
146,1131759
147,1033462
148,13398
149,1119449
150,70574
151,1340076
152,1208348
153,10529
154,1409712
155,269149
156,1087192
157,1241742
158,49051
159,1539104
160,634649
161,115819
162,4916
163,1214931
164,860542
165,1241470
166,569094
167,1254624
168,776659
169,1439112
170,1083637
171,680
172,24860
173,940100
174,23210
175,70089
176,13398
177,950387
178,1411707
179,541671
180,200331
181,1439112
182,1327819
183,12543
184,70136
185,634649
186,1491902
187,950387
188,533535
189,275208
190,693134
191,29942
192,1198984
193,1227128
194,541671
195,31251
196,569094
197,34098
198,1405769
199,872585
200,21055
201,808
202,1241470
203,671
204,411
205,1035259
206,1317149
207,1038392
208,1373198
209,1083637
210,862
211,129
212,1124566
213,287655
214,1116465
215,6163
216,845223
217,1022789
218,361743
219,1195518
220,1433680
221,55547
222,438631
223,1137179
224,949709
225,1254754
226,62201
227,666433
228,13
229,1147411
230,1412598
231,414419
232,1534
233,524047
234,1533549
235,240
236,613110
237,11
238,1302017
239,807
240,475557
241,1363123
242,122917
243,346364
244,1470086
245,552524
246,21055
247,218
248,369877
249,240
250,1302017
251,22
252,299534
253,121
254,1284120
255,1403735
256,1227128
257,372058
258,1180831
259,385687
260,564862
261,1252428
262,121
263,552524
264,557
265,574475
266,1197137
267,1601797
268,8587
269,602783
270,1726
271,299534
272,950396
273,1247002
274,1422096
275,1007734
276,673
277,502356
278,1368835
279,115819
280,170
281,1003596
282,696393
283,1097046
284,1422096
285,1197137
286,22
287,105
288,324857
289,1220564
290,1195518
291,1280869
292,519182
293,1242419
294,637649
295,674
296,939243
297,346698
298,967941
299,216015
300,1022787
301,637649
302,187282
303,302628
304,4232
305,1078605
306,218
307,1242419
308,912649
309,65955
310,216015
311,1563506
312,324857
313,391628
314,1403735
315,1470086
316,986056
317,1280875
318,1101425
319,348
320,335984
321,497
322,1254624
323,1284120
324,46853
325,354912
326,467905
327,10138
328,672
329,519182
330,1466115
331,1071585
332,585
333,1003596
334,1175942
335,1184918
336,70089
337,1327862
338,1288072
339,863
340,70981
341,967941
342,106646
343,23210
344,24
345,402431
346,1156594
347,99861
348,1278101
349,269955
350,414906
351,109445
352,1575337
353,345
354,2062
355,1515615
356,14160
357,1159831
358,1865
359,564
360,11566
361,1309012
362,675
363,1206008
364,12445
365,1086260
366,678806
367,1149167
368,1226863
369,10193
370,26725
371,150540
372,447365
373,301528
374,1241624
375,210577
376,767
377,11324
378,297762
379,12
380,424
381,49026
382,98
383,8966
384,12444
385,1007542
